template_id,template_name,template_description,days_per_week,category,day_name,target_muscles,exercise_name,base_sets,set_progression,rep_min,rep_max,equipment,primary_muscle,secondary_muscles
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back A,"chest,back_lats,back_traps",Barbell Bench Press,4,0.5,8,10,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back A,"chest,back_lats,back_traps",Incline Dumbbell Press,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back A,"chest,back_lats,back_traps",Cable Flye,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back A,"chest,back_lats,back_traps",Weighted Pull-up,4,0.5,8,10,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back A,"chest,back_lats,back_traps",Barbell Row,4,0.5,8,10,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back A,"chest,back_lats,back_traps",Seated Cable Row,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Overhead Press,4,0.5,8,10,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Dumbbell Lateral Raise,4,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Rear Delt Flye,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Barbell Curl,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Skull Crusher,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Hammer Curl,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms A,"front_delts,side_delts,rear_delts,biceps,triceps",Tricep Pushdown,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Legs A,"quads,hamstrings,glutes,calves",Barbell Squat,4,0.5,8,10,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Legs A,"quads,hamstrings,glutes,calves",Romanian Deadlift,4,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Legs A,"quads,hamstrings,glutes,calves",Leg Press,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Legs A,"quads,hamstrings,glutes,calves",Leg Curl,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Legs A,"quads,hamstrings,glutes,calves",Leg Extension,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Legs A,"quads,hamstrings,glutes,calves",Standing Calf Raise,4,0.5,15,20,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back B,"chest,back_lats,back_traps",Incline Barbell Press,4,0.5,8,10,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back B,"chest,back_lats,back_traps",Dumbbell Bench Press,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back B,"chest,back_lats,back_traps",Pec Deck,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back B,"chest,back_lats,back_traps",Lat Pulldown,4,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back B,"chest,back_lats,back_traps",T-Bar Row,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Chest/Back B,"chest,back_lats,back_traps",Straight Arm Pulldown,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms B,"front_delts,side_delts,rear_delts,biceps,triceps",Dumbbell Shoulder Press,4,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms B,"front_delts,side_delts,rear_delts,biceps,triceps",Cable Lateral Raise,3,0.5,12,15,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms B,"front_delts,side_delts,rear_delts,biceps,triceps",Face Pull,3,0.5,15,20,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms B,"front_delts,side_delts,rear_delts,biceps,triceps",Incline Dumbbell Curl,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms B,"front_delts,side_delts,rear_delts,biceps,triceps",Overhead Tricep Extension,3,0.5,10,12,,,
arnold-split-6,Arnold Split,Classic 6-day split: Chest/Back. Shoulders/Arms. Legs,6,hypertrophy,Shoulders/Arms B,"front_delts,side_delts,rear_delts,biceps,triceps",Preacher Curl,3,0.5,12,15,,,
